ROI,AverageControllability_zscore,ModalControllability_zscore,MinControlEnergy_zscore
0,5.288062861707405,-1.8466704721264608,0.7505087972116401
1,31.018458663445116,-2.0994423801251823,-0.8400109317992567
2,-1.0286166136424544,0.22612781456764114,0.34444290886215256
3,7.525215401835557,-3.3326061967775544,-1.2305411292830244
4,3.083263207783763,-0.8452280837247514,0.41599543871369504
5,2.1581753691604484,-0.0027449178063802386,-4.830710115948833
6,12.747309782450625,-3.533439981214354,-2.2742251309346737
7,15.919548187113131,-0.6558479140010239,-5.092217955055602
8,17.823668849906024,4.56715432322771,-7.68190656663105
9,10.010749202308512,-0.18440303666057434,-1.8161618261069088
10,6.259277172310292,-0.3218898414800033,-6.828571171657104
11,4.647978770622131,-1.4247700890420312,-6.475626534802492
12,5.723847162273162,-3.1561574964926464,-1.489829836628182
13,13.909171662574833,1.0089102366791312,-4.567612377930532
14,10.756292476538784,4.655056502837223,-4.13104427981558
