ROI,AverageControllability_zscore,ModalControllability_zscore,MinControlEnergy_zscore
0,-0.3167772665609846,-5.200845787555754,1.5910328531008444
1,-1.3680863791374407,-0.3806774035243766,0.4833095697802506
2,-0.11369935707121367,-1.1104085796368532,1.5585383943162174
3,-0.939464353511091,-0.04593487914125036,1.8067492730323638
4,-1.297955795258581,-1.6588823274876396,0.9885284046943853
5,0.6562748752812944,2.3866080989305347,0.4823359652071357
6,-0.16910601315001314,0.5573471902393092,2.674845526560374
7,-1.261160319691289,1.2801759411395908,0.4560755415723018
8,1.0413493903205786,-0.5972483622747555,-1.5665800838601798
9,-2.508286417543909,0.6148514351694341,0.7058240153945746
10,-0.3023622775189768,-1.5784758829215597,-0.09320397495003749
11,0.16451113014475963,2.0004503627355623,0.8878523567778476
12,0.2190579201213449,-0.20530130956158466,0.8607460778030414
13,-1.8286184686997846,6.673177581880835,-1.4133521253057557
14,2.679031849582241,-1.5146032689245768,-0.23989106200639324
