ROI,AverageControllability_zscore,ModalControllability_zscore,MinControlEnergy_zscore
0,0.15374684756366083,-3.2682455680773264,0.7323334808702674
1,-0.5891493550958284,-1.1722001660746957,1.63789125855657
2,-1.064635893071528,2.881319612387572,0.6729444660853362
3,1.154172465431934,-1.660442487800755,2.3613178810007103
4,-0.19749737271680726,-1.457830802278824,2.0183622202276963
5,1.1310659798691418,1.2519523575285603,-0.24267773881544813
6,-1.207185984990553,-2.643955297711491,1.2039747533692045
7,-1.830079756634825,-1.0674431690747839,-0.7480070080960831
8,2.1129734607277295,9.340108106724507,-2.4680679459417516
9,-1.1173133775045707,-0.16587705547786213,-0.45873886386596274
10,-0.6610934711078773,-0.2835306327928284,0.0835014291227091
11,-2.14706261286326e-05,-1.396453558787457,-1.1156268738902937
12,0.8193205775942894,1.1445538132906683,-0.807724574989137
13,-2.5114970995710806,2.149875189141174,0.43907509131870204
14,2.059039301546676,1.6951924851808389,-0.8681389347554079
