ROI,AverageControllability_zscore,ModalControllability_zscore,MinControlEnergy_zscore
0,13.471970545974667,-3.1907392917406323,-0.03877642963403778
1,44.53735945309148,-1.9691892711593788,-2.348600567548899
2,2.622982449326916,1.625288358975721,-0.6943329956298437
3,7.740253768816047,-3.8684356933702997,-1.2019037579309146
4,1.215720976873106,0.7466056197990255,0.5026596822299455
5,2.593497709526755,-0.6701998530911524,-3.63028183195356
6,19.333107989631447,-0.7421993460521372,-3.6827248584265493
7,23.890340447612292,1.372465572225991,-6.646980462767619
8,17.188477256406838,-0.06370946989547714,-5.687313752919182
9,21.067487561894964,-0.1699772044866227,-3.572968934569624
10,12.567446422329372,-1.9271453209431835,-5.683241429451405
11,7.805213157068331,-1.146509879136726,-6.402329869350426
12,12.896903482413213,-0.9625028008203569,-2.118265042015207
13,24.30117865964686,-0.6129945652174876,-5.028957978033305
14,12.782381090177807,-1.4514050195764132,-2.6587809291901436
