ROI,AverageControllability_zscore,ModalControllability_zscore,MinControlEnergy_zscore
0,-0.20091191549254772,1.5392336261916932,1.6268435252254352
1,-0.7940956098113392,-1.2464964210678169,2.8373730278531695
2,-2.2243559352456406,-0.31603004864210993,0.8851710018203719
3,0.05434002342267896,-0.8454486693582453,2.6281527824949107
4,-2.1710307628632277,1.0070680650199688,1.4145762743048778
5,0.14055752672237967,-1.228045264468152,0.1836339391677854
6,-0.5589009318670033,-2.107287635117751,2.266450399628862
7,0.6028166998446922,-1.0617004096360085,0.20535067121479628
8,0.7400710105166626,1.9314615078029471,-0.8992764885656901
9,-1.7591787491794322,0.6993534460665393,0.5270370873019727
10,-0.926539748100288,3.1385256193942124,-1.2211816277680865
11,-0.14187577085292255,-1.9003617662574954,-2.7959550840070584
12,0.17000599459297644,-2.090167355424769,1.0990734100817605
13,-3.331407517184954,2.613831701310307,-0.2907783627640752
14,-1.6126381333372508,5.236905527675909,-0.48297255309125975
