ROI,AverageControllability,ModalControllability,MinControlEnergy
0,1.7726472245527067,0.48735308440813074,0.8927810036264071
1,6.216984433932719,0.2196025868866775,0.6519103602004078
2,1.121368291812933,1.1602117035597532,0.8824388782552888
3,2.2893380824302754,0.36753166240345997,0.6986327331281628
4,1.4241361821947893,0.5719301715036629,0.8473254271076592
5,1.3907274171992146,1.320797794774151,0.5380531245315974
6,6.841769603481074,0.25940679644795583,0.6180687656836598
7,4.150487245913775,0.6176143706261741,0.5758576704328194
8,2.989531887173259,0.5673141268148867,0.48488161605258806
9,2.124959696589412,0.5693500511394466,0.6249536195675249
10,1.6436597941077287,0.9749873734338526,0.3906715564410567
11,2.058437694760409,1.1383554543930186,0.3750190631158527
12,1.9244109315110778,0.3344261362376567,0.7872284330386705
13,3.368298651812464,0.8082865803952795,0.24015508076717731
14,2.2395830833214174,1.2915645372866686,0.5864709905344891
