ROI,AverageControllability,ModalControllability,MinControlEnergy
0,1.3560107727497042,0.5599296543993533,0.9256445939830842
1,2.047651232830159,0.45093842226978453,0.7592458997940351
2,1.1925527859139415,0.8215124599436623,0.9019629698054493
3,1.5051477422003972,0.6897183774621809,0.8013794679438936
4,1.1475173444713322,0.33909594589330366,0.9283661860501892
5,1.2384872795888389,1.3749318360158407,0.6109774251159176
6,2.835149571665048,0.42823018978183996,0.8297169090347924
7,2.132811497272911,0.5972120043305036,0.798012500470572
8,1.8750078322450319,0.4713003271471201,0.7028449364117427
9,1.3174169052846505,0.7662007863283007,0.7041722397747682
10,1.2251707568342722,1.2447535077680927,0.5810787342448247
11,1.3046023376420341,2.216140528715065,0.520501970240751
12,1.3517044663687825,0.7051866164238457,0.8382284888902831
13,1.560261747168222,0.9387535240985001,0.3647174217556279
14,1.5355580811711582,0.7018448986324951,0.7355664254103728
