ROI,AverageControllability,ModalControllability,MinControlEnergy
0,1.816779909810041,0.43710114140929135,0.8388317688931896
1,7.545032150491431,0.20188122555045462,0.555111224833148
2,1.6252719026133164,0.5216133302123614,0.8682841429775193
3,2.857655440626093,0.192994789968518,0.7332478620593009
4,1.5362067362571066,0.9592144063714032,0.7986934566590688
5,1.315450482597407,0.6742878756489719,0.6139335646321129
6,9.931510654702983,0.4990684593237299,0.5771648774015248
7,3.5177495115793276,0.692708008488742,0.6023025711808023
8,3.1089012791170423,0.4124665405056095,0.4886275402928388
9,1.8487074744905496,0.7556734466913178,0.56226437098773
10,1.817388598952463,1.0208153260763506,0.4167032201452739
11,2.00572440719375,1.418427731334369,0.3749039641702068
12,2.0254989096248233,0.9011795535854938,0.7559500937361217
13,4.576643460773661,0.5994371738189559,0.2141790124014593
14,2.5104377730067298,1.0509101409705288,0.5837652410078035
