ROI,AverageControllability,ModalControllability,MinControlEnergy
0,2.4543176057229785,0.373968385744911,0.858822365709899
1,7.864364630800802,0.2314631563125538,0.5872760426090526
2,1.3372085418651287,1.5792530689486255,0.8373820312440383
3,2.3087887237097853,0.3239814925594836,0.6996986674676987
4,1.3089169944922354,1.0929686736083113,0.8509222556191886
5,1.4180498294035078,1.0826941156973058,0.5806322059521788
6,8.92892744456261,0.4945010528033052,0.568956668967601
7,5.225251679224295,0.8386315524164181,0.5158002974432903
8,2.939327195031839,0.43655901911162986,0.5633955347064379
9,2.9078500350750534,0.5727153284153207,0.533691831924025
10,2.0385101688640535,0.6082339098330496,0.42464266070947476
11,2.516317244707324,1.2451086911273415,0.3770515167106471
12,2.674476276228836,0.6231266446503357,0.760501386051865
13,4.400567607969173,0.6722936569225384,0.22295900262686263
14,2.3995743571736785,0.4501350745574036,0.6570327547289273
