ROI,AverageControllability,ModalControllability,MinControlEnergy
0,1.3700411431670358,0.6155466023426963,0.6421156259828104
1,1.6992611160112296,0.6341933252217267,0.8371794911257019
2,1.8764904674134923,0.3604730932244544,0.7593217115164334
3,1.3428661621424922,0.9314630787792699,0.7797404976283641
4,1.4030326557608714,0.6926829294889505,0.6156224142683352
5,1.841036282713995,0.5715459059527955,0.7693934924595842
6,1.8503147457633635,0.42529646670635324,0.7783640218755552
7,1.688577903843009,0.7115828202633425,0.6501365393240839
8,1.9294396238320255,1.2320145701247374,0.6715050000790557
9,1.514991749224693,0.8126706031335802,0.6285545715407305
10,1.8634264266794796,0.28176392647546067,0.7594888104983814
11,1.5259890171569568,1.1371728777446406,0.626601401297967
12,1.4493093589123396,2.107028600989315,0.7415344169517629
13,1.7872155602338902,1.0193805910087654,0.5759328082739865
14,3.1293757091457928,0.5527724289605084,0.6108103582887164
