ROI,AverageControllability,ModalControllability,MinControlEnergy
0,1.4482500828721205,0.5057737887396392,0.8986744434268951
1,2.502715226190809,0.3274769563095856,0.6921100366664474
2,1.1754625147642659,0.9497627907191837,0.8430125762436962
3,1.7007566377147414,0.7104560331857002,0.7549770258267418
4,1.1647966932945093,0.559701537767131,0.841274196725915
5,1.2757200444136088,1.3078501311435753,0.7208329869083715
6,2.925969686236944,0.5340131278925568,0.6827186653503889
7,2.005753762849345,0.7907449910676192,0.7460659106072928
8,1.63703050016522,0.4317461125115035,0.7872487767660094
9,1.3565106995126162,0.6764091089632578,0.6229102291802048
10,1.243027809633892,0.73901978429468,0.5643902877871743
11,1.3926995605790489,2.3316988135740466,0.5411275489379128
12,1.309965213973796,0.8003637064217493,0.8696803860059279
13,2.003272312304323,0.8397819743162285,0.38872015407902666
14,1.4034884298033121,0.4387535989276741,0.8478865644815943
