ROI,AverageControllability,ModalControllability,MinControlEnergy
0,1.3783748635869637,0.7044820978746191,0.872194125278045
1,2.369854514260174,0.43099884138137856,0.6773301587076843
2,1.2139402832672797,1.690568855374242,0.8092550196479626
3,1.7226890549264182,0.49475107898154097,0.7022516653550618
4,1.3076564687432557,0.7010083479866174,0.8463561777392045
5,1.2709581412223079,1.607234833098219,0.6710255751180877
6,3.3019872050807737,0.4965465175219036,0.7098942181904607
7,2.243388752759223,0.8012118771235035,0.7198705850851562
8,1.672176978506143,0.4937176884091843,0.7532443895327197
9,1.4935099896511146,0.23153594033078845,0.7489473463570457
10,1.2426724998398275,0.9130758731694267,0.5974407528762266
11,1.6504996389525886,1.215595476197202,0.5570899671129069
12,1.33144409748048,0.6773257389827937,0.8592781726143599
13,2.128819090470778,0.8000879038270854,0.36117722829485027
14,1.2866313245768486,0.6708974107346042,0.7192787507489931
