ROI,AverageControllability,ModalControllability,MinControlEnergy
0,1.3154485765522062,0.7729855686142368,0.9304849067403831
1,2.340384351055368,0.2972700210404102,0.8094649377482117
2,1.0506900301194917,0.9978382202852947,0.9058929291759428
3,1.6135827785285486,0.5696783031475776,0.8422602433402473
4,1.0999692245602264,1.1782231584279357,0.8887695553293248
5,1.2640943886359592,0.8836918493520438,0.7159114494646175
6,2.624792229775663,0.3795255067559735,0.776394742934915
7,2.085212214388545,0.573390252699197,0.7804921746399922
8,1.6392672127471781,0.49289382137093485,0.7518688740771257
9,1.2915708093591405,0.7755139363743108,0.746677012313314
10,1.1938743822870372,1.7655900980529884,0.5569897858989268
11,1.3637865623715852,0.9558969170263782,0.47705319279563324
12,1.3436621399189348,0.47471799543333704,0.897333242772391
13,1.6557406561873587,0.9428554907678988,0.39956870019169244
14,1.26286323447434,1.3717394324469105,0.7613136074047423
