ROI,AverageControllability,ModalControllability,MinControlEnergy
0,1.3240922622737734,0.7734925256510887,0.8641530599233918
1,7.383756390394453,0.14499925359517488,0.6829403894962346
2,1.3816032696191527,0.8192900830502001,0.8559327763599184
3,2.11332152644953,0.1746511848112352,0.6957159358319601
4,1.3750759422357315,0.5885891173332989,0.8333950490385909
5,1.2839074665689583,1.7511658651224482,0.4855733037144045
6,2.944079741665084,0.8733581748797491,0.3053830148049173
7,1.3175872715753347,2.4111789447668697,0.4364146651131469
8,1.7508819424017852,0.3550353150522828,0.7228039563688495
9,2.0612748929917046,0.38639088671711924,0.7969295946760047
10,1.4976013971376203,0.5120051173694696,0.7044934126793395
11,1.5716954236353857,1.4178644555187556,0.5907972246639978
12,1.616870007734443,0.3643970912042437,0.9285080718788443
13,2.9231343682183137,0.4763296865146494,0.3646842470371299
14,1.668344534885998,0.45683523949672533,0.7957385072602615
