ROI,AverageControllability,ModalControllability,MinControlEnergy
0,1.2624965734026423,1.2363205967264594,0.6903472659497973
1,1.5963040334105454,0.585043662279191,0.8152986026815938
2,2.110184766770928,0.4303388926623737,0.7827784347128492
3,1.28213603250251,1.653977283650491,0.8608598439052999
4,1.4685015711020777,1.0123261084384765,0.5287822550184745
5,2.0661987652909084,0.49196164804067,0.6973050936327937
6,1.8338586987788101,0.5868078119593416,0.7756308090996579
7,1.5166856692311756,1.336010750488472,0.635069462361647
8,1.7995894466253453,0.48251933125827884,0.5902477273331334
9,1.3637673066199894,1.2925766435354773,0.6618153149147769
10,2.09279411029277,0.644440981025499,0.7500287234083314
11,2.0277900368472763,0.6978965014634384,0.6403134522467931
12,1.3489893079661162,0.6293356549685329,0.7704881131266389
13,1.8111438051424757,0.6384223414145336,0.616007028459063
14,2.716573316461044,0.26372173427666423,0.6660598065003132
