ROI,AverageControllability,ModalControllability,MinControlEnergy
0,1.3633332474607749,0.4710817929718103,0.8792537051060114
1,5.922670299859148,0.17323638703173783,0.6732134839721762
2,1.2972802788988802,1.0609530014328499,0.9148823847390168
3,1.956040192689709,0.3483792612286395,0.7079208646221505
4,1.3004938396354506,1.2528487709790919,0.8053820141029481
5,1.2320135081604657,1.7782264974168298,0.506197349625691
6,2.3575413371820226,0.9137545639048787,0.3431621947665089
7,1.5647415175193051,2.233298847578538,0.4218098707042318
8,1.8731975410801731,0.2525257229424395,0.8158537492731784
9,2.0649834992518152,0.36296540998668736,0.7426311100180464
10,1.5468221129918425,0.39082499456990477,0.6585216311808958
11,1.6536342972007216,0.7875088279932221,0.5914309069462399
12,1.8095536241528776,0.21428677593103107,0.9064994361780452
13,2.960827716847104,0.702781766410246,0.3710993013844704
14,1.7961114459453194,0.6242429076016092,0.8134112132406327
