ROI,AverageControllability,ModalControllability,MinControlEnergy
0,2.0797793858967175,0.11560441346645445,0.9334963083163788
1,5.728673679942913,0.24769099984147255,0.6241021242273519
2,1.313043265293001,1.6398232603369176,0.8004531622410025
3,2.327841593733143,0.2659467604266973,0.7366350525480537
4,1.4302030280209685,0.5908494275344774,0.8565851014400284
5,1.4486149010681444,1.0105035400940505,0.5610630700556716
6,7.260956323198994,0.7267247064917353,0.6023924394971183
7,3.5855913337914,1.0014543894474135,0.6432154704068586
8,3.7475778457024274,0.37177715093090324,0.5090295143031374
9,1.8888928325490375,0.610108917904487,0.6055415683845948
10,1.671761957377627,1.2827335288805504,0.35735266451986214
11,2.3297087638249825,1.0742038201599735,0.404341947654708
12,1.6709525189661774,0.7217529576663393,0.797632290358038
13,3.715906500573714,0.7117956376242394,0.2581097554593651
14,2.2069136373554477,0.6431842921069668,0.5702082002455475
