ROI,AverageControllability,ModalControllability,MinControlEnergy
0,1.3636112704240602,0.3158113949436292,0.9371708897457922
1,3.276964633128362,0.22535187776226845,0.765468633516424
2,1.1437720652813124,0.9727232826708947,0.9391885612445022
3,1.533257064802464,0.5415205335626337,0.8455196712786226
4,1.165742056588612,0.22256284677205826,0.9016196444956502
5,1.1177999755596684,3.1160616864845205,0.7117362088620353
6,2.752233508118636,0.394199981334468,0.6521213531499002
7,1.679633497614291,0.4778063103151254,0.7880256180662842
8,1.9125124334801153,0.6149500999954444,0.6441876205932974
9,1.3071610393275501,0.6635451441451357,0.7650382443376408
10,1.2496287314889216,1.1081870256870636,0.6042849735060613
11,1.3139654489872241,0.9893680330794471,0.5486102885680393
12,1.3022241988211904,1.1266200591115565,0.8357139628166078
13,1.6455846562002976,0.9921279583569672,0.37814221329173653
14,1.5371886207294636,0.6028332438544918,0.7428226605383007
